Run: stfs_crrcd_v1
Path: /home/dsa/stenosis/rfdetr_video/runs/stfs_crrcd_v1
Config: T=5  img_size=512  num_classes=1

==========================================================================================
Dataset: cadica_50plus_new
  videos=160  centre_frames=1614
==========================================================================================

Per-video metrics:
  video          frames   gt    AP30   AP50   AP75 AP5095      F1      P      R    thr   Frag  FragRt
  p41_v4              1    1   0.062  0.000  0.000  0.000   0.000  0.000  0.000  0.000      0  0.0000
  p41_v6             24   24   0.473  0.294  0.010  0.056   0.511  0.522  0.500  0.420      2  0.0833
  p41_v7              7   14   0.006  0.000  0.000  0.000   0.000  0.000  0.000  0.000      0  0.0000
  p41_v8             12   24   0.006  0.000  0.000  0.000   0.000  0.000  0.000  0.000      0  0.0000
  p42_v10             4    4   0.444  0.244  0.000  0.052   0.429  0.300  0.750  0.110      0  0.0000
  p42_v2             11   11   0.000  0.000  0.000  0.000   0.000  0.000  0.000  0.000      0  0.0000
  p42_v5             12   24   0.292  0.000  0.000  0.000   0.000  0.000  0.000  0.000      0  0.0000
  p42_v7             12   12   0.000  0.000  0.000  0.000   0.000  0.000  0.000  0.000      0  0.0000

MACRO mean across videos:
  AP30     0.3355
  AP50     0.1494
  AP75     0.0045
  AP5095   0.0361
  F1       0.2010
  Frag     0.200
  FragRate 0.0118

MICRO pooled across all centre frames:
  AP30     0.1837
  AP50     0.0345
  AP75     0.0004
  AP5095   0.0071
  F1       0.1253
  P        0.1401
  R        0.1134
  thr      0.1600
  Frag     32   (over 2284 track-frames)
  FragRate 0.0140

==========================================================================================
Dataset: dataset2_split_test
  videos=31  centre_frames=1128
==========================================================================================

Per-video metrics:
  video          frames   gt    AP30   AP50   AP75 AP5095      F1      P      R    thr   Frag  FragRt
  14_002_v5          27   27   1.000  0.843  0.042  0.230   0.852  0.852  0.852  0.130      1  0.0370
  14_002_v8          16   16   0.980  0.980  0.204  0.465   0.933  1.000  0.875  0.550      0  0.0000
  14_006_v1         109  109   0.375  0.002  0.000  0.000   0.028  0.057  0.018  0.590      1  0.0092
  14_015_v1          63   63   0.897  0.580  0.020  0.151   0.624  0.739  0.540  0.670      8  0.1270
  14_029_v1          37   37   0.032  0.011  0.000  0.002   0.049  0.032  0.108  0.070      0  0.0000
  14_029_v2          47   47   0.354  0.018  0.000  0.003   0.073  0.065  0.085  0.140      0  0.0000
  14_029_v4          47   47   0.038  0.006  0.000  0.001   0.036  0.021  0.128  0.050      5  0.1064
  14_029_v5          67   67   0.751  0.438  0.004  0.090   0.535  0.567  0.507  0.450      6  0.0896
  14_029_v6          67   67   0.240  0.062  0.000  0.012   0.164  0.164  0.164  0.200      1  0.0149
  14_029_v7          37   37   0.636  0.125  0.000  0.023   0.208  0.200  0.216  0.160      0  0.0000
  14_032_v4          42   42   0.032  0.005  0.000  0.001   0.024  0.014  0.071  0.080      1  0.0238
  14_032_v6          42   42   0.251  0.067  0.001  0.010   0.194  0.146  0.286  0.130      4  0.0952
  14_032_v7          37   37   0.015  0.002  0.000  0.000   0.015  0.008  0.108  0.030      0  0.0000
  14_066_v10         37   37   0.718  0.508  0.017  0.117   0.519  0.824  0.378  0.490      2  0.0541
  14_066_v2          32   32   0.101  0.013  0.000  0.002   0.057  0.031  0.375  0.030      1  0.0312
  14_066_v3          12   12   0.917  0.839  0.000  0.181   0.800  1.000  0.667  0.560      2  0.1667
  14_066_v7          32   32   0.808  0.709  0.023  0.214   0.667  0.600  0.750  0.160      4  0.1250
  14_066_v8          47   47   0.964  0.571  0.004  0.146   0.652  0.667  0.638  0.450      5  0.1064
  14_066_v9          12   12   0.100  0.017  0.000  0.004   0.103  0.074  0.167  0.090      1  0.0833
  14_083_v1          25   25   0.416  0.153  0.002  0.031   0.206  0.163  0.280  0.130      2  0.0800
  14_083_v6          30   30   0.903  0.719  0.035  0.207   0.706  0.632  0.800  0.150      4  0.1333
  14_083_v7          17   17   0.997  0.929  0.056  0.253   0.914  0.889  0.941  0.160      1  0.0588
  14_091_v1           7    7   0.020  0.019  0.001  0.009   0.039  0.021  0.429  0.020      2  0.2857
  14_096_v2          47   47   0.086  0.067  0.000  0.015   0.147  0.107  0.234  0.080      5  0.1064
  14_096_v3          42   42   0.998  0.948  0.007  0.191   0.951  0.975  0.929  0.490      2  0.0476
  14_096_v4          37   37   1.000  0.948  0.075  0.348   0.973  0.973  0.973  0.100      1  0.0270
  14_096_v5          42   42   0.101  0.000  0.000  0.000   0.000  0.000  0.000  0.000      0  0.0000
  14_096_v6          47   47   0.045  0.000  0.000  0.000   0.004  0.002  0.043  0.020      0  0.0000
  14_099_v5          11   11   0.356  0.346  0.001  0.099   0.400  0.357  0.455  0.160      0  0.0000
  14_099_v6          10   10   0.991  0.948  0.187  0.393   0.857  0.818  0.900  0.130      0  0.0000
  14_099_v8           3    3   1.000  1.000  0.005  0.389   1.000  1.000  1.000  0.120      0  0.0000

MACRO mean across videos:
  AP30     0.5200
  AP50     0.3831
  AP75     0.0221
  AP5095   0.1157
  F1       0.4106
  Frag     1.903
  FragRate 0.0583

MICRO pooled across all centre frames:
  AP30     0.4244
  AP50     0.2255
  AP75     0.0055
  AP5095   0.0572
  F1       0.3174
  P        0.4345
  R        0.2500
  thr      0.5700
  Frag     59   (over 1128 track-frames)
  FragRate 0.0523

