Run: stfs_nodistill_v1
Path: /home/dsa/stenosis/rfdetr_video/runs/stfs_nodistill_v1
Config: T=5  img_size=512  num_classes=1

==========================================================================================
Dataset: cadica_50plus_new
  videos=160  centre_frames=1614
==========================================================================================

Per-video metrics:
  video          frames   gt    AP30   AP50   AP75 AP5095      F1      P      R    thr   Frag  FragRt
  p25_v17             5    4   0.084  0.006  0.003  0.003   0.041  0.022  0.250  0.060      0  0.0000
  p25_v5             11   11   0.001  0.000  0.000  0.000   0.000  0.000  0.000  0.000      0  0.0000
  p25_v6             14   14   0.093  0.000  0.000  0.000   0.000  0.000  0.000  0.000      0  0.0000
  p25_v7             26   26   0.069  0.001  0.000  0.000   0.017  0.011  0.038  0.110      0  0.0000
  p25_v8             17   17   0.190  0.001  0.000  0.000   0.017  0.009  0.118  0.050      1  0.0588
  p26_v1              9    7   0.477  0.234  0.014  0.055   0.364  0.500  0.286  0.520      0  0.0000
  p26_v2              1    1   0.200  0.020  0.000  0.005   0.033  0.017  1.000  0.010      0  0.0000
  p29_v10             7    7   0.056  0.001  0.000  0.000   0.010  0.005  0.143  0.020      0  0.0000
  p29_v11            10   10   0.420  0.235  0.017  0.075   0.389  0.269  0.700  0.120      2  0.2000
  p29_v4              2    2   0.500  0.500  0.000  0.079   0.667  0.500  1.000  0.140      0  0.0000
  p29_v5              1    1   1.000  0.000  0.000  0.000   0.000  0.000  0.000  0.000      0  0.0000
  p30_v1              2    2   0.833  0.000  0.000  0.000   0.000  0.000  0.000  0.000      0  0.0000
  p30_v2             15   15   0.996  0.026  0.000  0.003   0.154  0.182  0.133  0.750      0  0.0000
  p30_v3             17   17   0.921  0.006  0.000  0.001   0.057  0.056  0.059  0.170      0  0.0000
  p30_v5             15   15   0.925  0.009  0.000  0.002   0.061  0.056  0.067  0.160      0  0.0000
  p30_v6              1    1   1.000  0.167  0.000  0.031   0.250  0.143  1.000  0.050      0  0.0000
  p30_v7             10   10   0.882  0.008  0.000  0.001   0.012  0.006  0.200  0.020      1  0.1000
  p31_v10            16   32   0.441  0.025  0.000  0.005   0.092  0.058  0.219  0.030      1  0.0312
  p31_v11             1    2   0.417  0.087  0.000  0.017   0.125  0.071  0.500  0.020      0  0.0000
  p31_v12             9   20   0.517  0.019  0.001  0.004   0.086  0.060  0.150  0.040      0  0.0000
  p31_v13             1    2   1.000  0.062  0.000  0.013   0.200  0.125  0.500  0.040      0  0.0000
  p31_v18             1    1   1.000  0.000  0.000  0.000   0.000  0.000  0.000  0.000      0  0.0000
  p31_v21            12   12   0.016  0.002  0.000  0.000   0.006  0.003  0.083  0.020      0  0.0000
  p31_v5             10   10   0.767  0.424  0.000  0.125   0.429  0.750  0.300  0.500      0  0.0000
  p31_v6             14   17   0.776  0.097  0.000  0.019   0.222  0.211  0.235  0.140      0  0.0000
  p31_v7              8   12   0.031  0.002  0.000  0.000   0.018  0.010  0.083  0.030      0  0.0000
  p31_v8             15   15   0.001  0.000  0.000  0.000   0.000  0.000  0.000  0.000      0  0.0000
  p32_v10            21   21   0.556  0.001  0.000  0.000   0.006  0.003  0.095  0.020      0  0.0000
  p32_v3             29   29   0.373  0.001  0.000  0.000   0.002  0.001  0.276  0.010      4  0.1379
  p32_v4             28   28   0.010  0.000  0.000  0.000   0.000  0.000  0.000  0.000      0  0.0000
  p32_v8             15   15   1.000  0.019  0.000  0.003   0.087  0.125  0.067  0.700      0  0.0000
  p32_v9              9    9   0.341  0.000  0.000  0.000   0.000  0.000  0.000  0.000      0  0.0000
  p34_v10             8    4   0.000  0.000  0.000  0.000   0.000  0.000  0.000  0.000      0  0.0000
  p34_v6              8    8   0.324  0.128  0.000  0.026   0.222  1.000  0.125  0.640      0  0.0000
  p34_v8             21   37   0.456  0.291  0.012  0.066   0.415  0.688  0.297  0.510      4  0.1081
  p34_v9             17   17   0.814  0.651  0.014  0.152   0.703  0.650  0.765  0.180      3  0.1765
  p35_v11             1    1   1.000  1.000  0.000  0.100   1.000  1.000  1.000  0.190      0  0.0000
  p35_v3              9    9   1.000  0.202  0.000  0.037   0.444  0.444  0.444  0.170      1  0.1111
  p35_v5              9    9   0.000  0.000  0.000  0.000   0.000  0.000  0.000  0.000      0  0.0000
  p35_v6             14   19   0.015  0.001  0.000  0.000   0.022  0.014  0.053  0.090      0  0.0000
  p35_v9              3    4   0.014  0.000  0.000  0.000   0.000  0.000  0.000  0.000      0  0.0000
  p36_v14            21   21   0.143  0.002  0.000  0.000   0.043  0.040  0.048  0.160      0  0.0000
  p36_v18            10   10   0.304  0.034  0.005  0.010   0.129  0.095  0.200  0.110      0  0.0000
  p36_v20             1    1   0.018  0.000  0.000  0.000   0.000  0.000  0.000  0.000      0  0.0000
  p36_v22             6    6   0.001  0.000  0.000  0.000   0.000  0.000  0.000  0.000      0  0.0000
  p36_v24            14   14   0.005  0.000  0.000  0.000   0.000  0.000  0.000  0.000      0  0.0000
  p36_v25            24   48   0.295  0.120  0.000  0.018   0.252  0.211  0.312  0.090      0  0.0000
  p36_v3             19   19   0.064  0.000  0.000  0.000   0.006  0.003  0.053  0.030      0  0.0000
  p36_v4              6    6   0.035  0.000  0.000  0.000   0.001  0.001  0.167  0.010      0  0.0000
  p37_v1             10   10   0.041  0.000  0.000  0.000   0.000  0.000  0.000  0.000      0  0.0000
  p37_v11             7    7   0.018  0.000  0.000  0.000   0.000  0.000  0.000  0.000      0  0.0000
  p37_v3             14   14   0.005  0.000  0.000  0.000   0.001  0.001  0.143  0.010      1  0.0714
  p37_v5              4    4   0.625  0.125  0.000  0.028   0.333  0.250  0.500  0.130      0  0.0000
  p38_v2              3    3   1.000  0.300  0.010  0.096   0.400  0.286  0.667  0.050      0  0.0000
  p38_v6             12   12   0.869  0.398  0.000  0.067   0.526  0.714  0.417  0.550      0  0.0000
  p38_v8              9    9   1.000  0.948  0.000  0.165   0.941  1.000  0.889  0.680      1  0.1111
  p39_v10             8   24   0.397  0.083  0.008  0.025   0.229  0.174  0.333  0.080      0  0.0000
  p39_v15             2    2   0.167  0.042  0.000  0.004   0.143  0.083  0.500  0.080      0  0.0000
  p39_v16             1    3   0.234  0.017  0.000  0.002   0.030  0.016  0.333  0.010      0  0.0000
  p39_v18             9    9   0.000  0.000  0.000  0.000   0.000  0.000  0.000  0.000      0  0.0000
  p39_v2             14   28   0.659  0.019  0.000  0.002   0.107  0.107  0.107  0.130      0  0.0000
  p39_v3              7    7   0.548  0.426  0.000  0.060   0.545  0.750  0.429  0.490      0  0.0000
  p39_v6              6    6   1.000  0.261  0.000  0.056   0.444  0.667  0.333  0.600      0  0.0000
  p39_v7              1    2   0.450  0.286  0.000  0.064   0.444  0.286  1.000  0.090      0  0.0000
  p40_v1             17   34   0.074  0.032  0.001  0.006   0.087  0.051  0.294  0.040      2  0.0588
  p40_v12             5    5   1.000  0.681  0.000  0.185   0.800  0.800  0.800  0.110      0  0.0000
  p40_v3             14   28   0.003  0.000  0.000  0.000   0.001  0.000  0.071  0.000      0  0.0000
  p40_v4              6   12   0.588  0.435  0.000  0.084   0.556  0.833  0.417  0.180      0  0.0000
  p40_v7              1    2   0.545  0.520  0.000  0.055   0.667  1.000  0.500  0.080      0  0.0000
  p41_v10            17   17   0.533  0.000  0.000  0.000   0.001  0.001  0.176  0.000      0  0.0000
  p41_v13            11   11   0.003  0.000  0.000  0.000   0.000  0.000  0.000  0.000      0  0.0000
  p41_v18            24   48   0.014  0.000  0.000  0.000   0.005  0.003  0.042  0.020      0  0.0000
  p41_v2              4    8   0.042  0.005  0.000  0.001   0.037  0.022  0.125  0.040      0  0.0000
  p41_v20            10   20   0.006  0.003  0.000  0.000   0.037  0.023  0.100  0.030      1  0.0500
  p41_v21            25   25   0.013  0.000  0.000  0.000   0.008  0.005  0.040  0.030      0  0.0000
  p41_v3             10   10   0.022  0.001  0.000  0.000   0.014  0.007  0.200  0.020      0  0.0000
  p41_v4              1    1   0.250  0.000  0.000  0.000   0.000  0.000  0.000  0.000      0  0.0000
  p41_v6             24   24   0.702  0.404  0.000  0.079   0.500  0.500  0.500  0.210      0  0.0000
  p41_v7              7   14   0.007  0.002  0.000  0.000   0.022  0.013  0.071  0.030      0  0.0000
  p41_v8             12   24   0.025  0.001  0.000  0.000   0.007  0.003  0.208  0.010      4  0.1667
  p42_v10             4    4   0.325  0.081  0.013  0.015   0.200  0.167  0.250  0.150      0  0.0000
  p42_v2             11   11   0.000  0.000  0.000  0.000   0.000  0.000  0.000  0.000      0  0.0000
  p42_v5             12   24   0.180  0.000  0.000  0.000   0.000  0.000  0.000  0.000      0  0.0000
  p42_v7             12   12   0.001  0.000  0.000  0.000   0.000  0.000  0.000  0.000      0  0.0000

MACRO mean across videos:
  AP30     0.3356
  AP50     0.1361
  AP75     0.0076
  AP5095   0.0330
  F1       0.1928
  Frag     0.275
  FragRate 0.0164

MICRO pooled across all centre frames:
  AP30     0.1908
  AP50     0.0349
  AP75     0.0003
  AP5095   0.0068
  F1       0.1305
  P        0.1353
  R        0.1261
  thr      0.1600
  Frag     44   (over 2284 track-frames)
  FragRate 0.0193

==========================================================================================
Dataset: dataset2_split_test
  videos=31  centre_frames=1128
==========================================================================================

Per-video metrics:
  video          frames   gt    AP30   AP50   AP75 AP5095      F1      P      R    thr   Frag  FragRt
  14_002_v5          27   27   1.000  0.718  0.002  0.168   0.778  0.778  0.778  0.160      2  0.0741
  14_002_v8          16   16   0.986  0.986  0.130  0.412   0.941  0.889  1.000  0.160      0  0.0000
  14_006_v1         109  109   0.186  0.001  0.000  0.000   0.016  0.053  0.009  0.620      0  0.0000
  14_015_v1          63   63   0.827  0.562  0.028  0.159   0.633  0.667  0.603  0.640      8  0.1270
  14_029_v1          37   37   0.031  0.007  0.000  0.001   0.036  0.021  0.135  0.050      2  0.0541
